loss,accuracy,val_loss,val_accuracy
1.1900397539138794,0.6006543040275574,1.01121985912323,0.647814929485321
0.9607389569282532,0.6595981121063232,0.9394044876098633,0.6686141490936279
0.8987271189689636,0.6761888265609741,0.9499751329421997,0.6450105309486389
0.8748253583908081,0.6845425963401794,0.9279270768165588,0.6485159993171692
0.8542482256889343,0.692370593547821,0.8870575428009033,0.6791306138038635
0.8436347842216492,0.6965183019638062,0.907613217830658,0.6566954851150513
0.8264850974082947,0.7007827758789062,0.8750973343849182,0.6774947643280029
0.8191139698028564,0.7041126489639282,0.9228135347366333,0.6517878174781799
0.815300703048706,0.7063325047492981,0.8765978217124939,0.6819350123405457
0.8067572712898254,0.7104802131652832,0.8886938095092773,0.6744566559791565
0.80117267370224,0.7128168940544128,0.8620204329490662,0.6847394108772278
0.793430745601654,0.7112396359443665,0.8909483551979065,0.6826361417770386
0.800666332244873,0.7112396359443665,0.8680496215820312,0.683570921421051
0.7853055000305176,0.7174319624900818,0.8766834735870361,0.6826361417770386
0.7892659902572632,0.7166724801063538,0.9030214548110962,0.6648749709129333
